CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment,Churned
12346.0,327,1,77183.6,1,1,5,115,At Risk,1
12347.0,41,7,4310.0,4,5,5,455,Loyal,0
12348.0,77,4,1797.24,3,4,4,344,Potential Loyalist,0
12349.0,20,1,1757.55,4,1,4,414,Potential Loyalist,0
12350.0,312,1,334.4,1,1,2,112,At Risk,1
12352.0,74,8,2506.04,3,5,5,355,Potential Loyalist,0
12353.0,205,1,89.0,1,1,1,111,At Risk,1
12354.0,234,1,1079.4,1,1,4,114,At Risk,1
12355.0,97,1,459.4,2,1,2,212,At Risk,0
12356.0,24,3,2811.43,4,3,5,435,Loyal,0
12357.0,183,1,6207.67,2,1,5,215,At Risk,1
12358.0,4,2,1168.06,5,2,4,524,Potential Loyalist,0
12359.0,10,4,6372.58,5,4,5,545,Champions,0
12360.0,54,3,2662.06,3,3,5,335,Potential Loyalist,0
12361.0,289,1,189.9,1,1,1,111,At Risk,1
12362.0,31,10,5226.23,4,5,5,455,Loyal,0
12363.0,37,2,552.0,4,2,3,423,Potential Loyalist,0
12364.0,42,4,1313.1,4,4,4,444,Loyal,0
12365.0,293,2,641.38,1,2,3,123,At Risk,1
12367.0,213,1,168.9,1,1,1,111,At Risk,1
12370.0,53,4,3545.69,3,4,5,345,Potential Loyalist,0
12371.0,31,2,1887.96,4,2,4,424,Potential Loyalist,0
12372.0,36,3,1298.04,4,3,4,434,Loyal,0
12373.0,343,1,364.6,1,1,2,112,At Risk,1
12374.0,27,1,742.9300000000001,4,1,3,413,Potential Loyalist,0
12375.0,12,2,457.5,5,2,2,522,Potential Loyalist,0
12377.0,317,2,1628.12,1,2,4,124,At Risk,1
12378.0,306,1,4008.62,1,1,5,115,At Risk,1
12379.0,83,2,852.24,3,2,3,323,Potential Loyalist,0
12380.0,23,4,2724.81,4,4,5,445,Loyal,0
12381.0,1,5,1845.31,5,4,4,544,Loyal,0
12383.0,10,5,1850.56,5,4,4,544,Loyal,0
12384.0,30,2,585.27,4,2,3,423,Potential Loyalist,0
12386.0,193,2,401.9,1,2,2,122,At Risk,1
12388.0,17,6,2780.66,5,4,5,545,Champions,0
12390.0,81,1,549.84,3,1,3,313,Potential Loyalist,0
